                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                freq_units                         l                      n_pg                 Re(omega)                 Im(omega)
  0.5868842084554447E+001   0.0000000000000000E+000 CYC_PER_DAY                                       1                        -5   0.3101798217990401E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5
                        x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.3445245884672242E-001  -0.2567113873752469E+000   0.0000000000000000E+000  -0.5206231748588231E+000   0.0000000000000000E+000
  0.3462177800452171E-001  -0.2339707318040118E+000   0.0000000000000000E+000  -0.5194027244326445E+000   0.0000000000000000E+000
  0.3479109716232099E-001  -0.2142898395356906E+000   0.0000000000000000E+000  -0.5180036657591509E+000   0.0000000000000000E+000
  0.3495862808681802E-001  -0.1956170449693278E+000   0.0000000000000000E+000  -0.5164672385043094E+000   0.0000000000000000E+000
  0.3512615901131505E-001  -0.1754543884358919E+000   0.0000000000000000E+000  -0.5147773224752440E+000   0.0000000000000000E+000
  0.3521020950138705E-001  -0.1634592258364588E+000   0.0000000000000000E+000  -0.5138649786982383E+000   0.0000000000000000E+000
  0.3529425999145906E-001  -0.1481712928852100E+000   0.0000000000000000E+000  -0.5128957541401332E+000   0.0000000000000000E+000
  0.3537790771606571E-001  -0.1330810512341006E+000   0.0000000000000000E+000  -0.5118656909650158E+000   0.0000000000000000E+000
  0.3546155544067235E-001  -0.1212585455233594E+000   0.0000000000000000E+000  -0.5107809316564124E+000   0.0000000000000000E+000
  0.3562762963871933E-001  -0.9978125957930491E-001   0.0000000000000000E+000  -0.5085009535301823E+000   0.0000000000000000E+000
  0.3579370383676631E-001  -0.7771884769940689E-001   0.0000000000000000E+000  -0.5060562616468846E+000   0.0000000000000000E+000
  0.3595994627821136E-001  -0.5300376092616715E-001   0.0000000000000000E+000  -0.5034339038438193E+000   0.0000000000000000E+000
  0.3604306749893389E-001  -0.3852598377896413E-001   0.0000000000000000E+000  -0.5020456685985654E+000   0.0000000000000000E+000
  0.3612618871965643E-001  -0.2306206869957959E-001   0.0000000000000000E+000  -0.5005984235538812E+000   0.0000000000000000E+000
  0.3620857915030193E-001  -0.7841121846143330E-002   0.0000000000000000E+000  -0.4991039526099170E+000   0.0000000000000000E+000
  0.3629096958094744E-001   0.6349342323451779E-002   0.0000000000000000E+000  -0.4975530045295222E+000   0.0000000000000000E+000
  0.3645575044223844E-001   0.3107891341924507E-001   0.0000000000000000E+000  -0.4943052035517528E+000   0.0000000000000000E+000
  0.3653823247131047E-001   0.4302778775393472E-001   0.0000000000000000E+000  -0.4926150693487990E+000   0.0000000000000000E+000
  0.3662071450038249E-001   0.5664577386032398E-001   0.0000000000000000E+000  -0.4908790605672552E+000   0.0000000000000000E+000
  0.3670319652945452E-001   0.7252854521242462E-001   0.0000000000000000E+000  -0.4890881786928009E+000   0.0000000000000000E+000
  0.3678567855852655E-001   0.9000735556206474E-001   0.0000000000000000E+000  -0.4872336836365836E+000   0.0000000000000000E+000
  0.3686750096892635E-001   0.1074024398677074E+000   0.0000000000000000E+000  -0.4853278778160838E+000   0.0000000000000000E+000
  0.3694932337932616E-001   0.1240586055291088E+000   0.0000000000000000E+000  -0.4833584932232337E+000   0.0000000000000000E+000
  0.3703114578972597E-001   0.1397934114563388E+000   0.0000000000000000E+000  -0.4813297291266421E+000   0.0000000000000000E+000
  0.3711296820012578E-001   0.1548092293030313E+000   0.0000000000000000E+000  -0.4792457039980756E+000   0.0000000000000000E+000
  0.3719491236285630E-001   0.1696671178374295E+000   0.0000000000000000E+000  -0.4771056172522821E+000   0.0000000000000000E+000
  0.3727685652558682E-001   0.1849098605677336E+000   0.0000000000000000E+000  -0.4749123549772302E+000   0.0000000000000000E+000
